School,School Code,Attendance Year,School Type,School Category,EQ Zone,Region,Local Government Area,FTE Days Attended,Possible Attendance Days,Attendance Rate
Allenstown State School,155,2015,State School,Primary,Provincial City,Central Queensland,Rockhampton (R),29403.5,32371,90.8%
Alligator Creek State School,773,2011,State School,Primary,Rural,Central Queensland,Mackay (R),39320,42926,91.6%
Alligator Creek State School,773,2012,State School,Primary,Rural,Central Queensland,Mackay (R),32654,35857,91.1%
Alligator Creek State School,773,2013,State School,Primary,Rural,Central Queensland,Mackay (R),33185,35772,92.8%
Alligator Creek State School,773,2014,State School,Primary,Rural,Central Queensland,Mackay (R),33254,36378,91.4%
Alligator Creek State School,773,2015,State School,Primary,Rural,Central Queensland,Mackay (R),28745.5,30921,93.0%
Allora P-10 State School,3,2011,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),19879,21746,91.4%
Allora P-10 State School,3,2012,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),19546,21342,91.6%
Allora P-10 State School,3,2013,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),19107.5,21273,89.8%
Allora P-10 State School,3,2014,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),19326,21325,90.6%
Allora P-10 State School,3,2015,State School,Combined,Rural,Darling Downs South West,Southern Downs (R),20666,22392,92.3%
Alloway State School,430,2011,State School,Primary,Rural,North Coast,Bundaberg (R),3254,3430,94.9%
Alloway State School,430,2012,State School,Primary,Rural,North Coast,Bundaberg (R),4420,4772,92.6%
Alloway State School,430,2013,State School,Primary,Rural,North Coast,Bundaberg (R),4079.5,4568,89.3%
Alloway State School,430,2014,State School,Primary,Rural,North Coast,Bundaberg (R),5065.5,5469,92.6%
Alloway State School,430,2015,State School,Primary,Rural,North Coast,Bundaberg (R),5187.5,5514,94.1%
Aloomba State School,870,2011,State School,Primary,Rural,Far North Queensland,Cairns (R),7488,7922,94.5%
Aloomba State School,870,2012,State School,Primary,Rural,Far North Queensland,Cairns (R),7757,8110,95.6%
Aloomba State School,870,2013,State School,Primary,Rural,Far North Queensland,Cairns (R),8115,8411,96.5%
Aloomba State School,870,2014,State School,Primary,Rural,Far North Queensland,Cairns (R),8021,8356,96.0%
Aloomba State School,870,2015,State School,Primary,Rural,Far North Queensland,Cairns (R),8680.5,9035,96.1%
Alpha State School,517,2011,State School,Combined,Remote,Central Queensland,Barcaldine (R),6035.5,6633,91.0%
Alpha State School,517,2012,State School,Combined,Remote,Central Queensland,Barcaldine (R),5489,5782,94.9%
Alpha State School,517,2013,State School,Combined,Remote,Central Queensland,Barcaldine (R),5879.5,6395,91.9%
Alpha State School,517,2014,State School,Combined,Remote,Central Queensland,Barcaldine (R),5066,5493,92.2%
Alpha State School,517,2015,State School,Combined,Remote,Central Queensland,Barcaldine (R),3978,4234,94.0%
Amamoor State School,1719,2011,State School,Primary,Rural,North Coast,Gympie (R),5455,5834,93.5%
Amamoor State School,1719,2012,State School,Primary,Rural,North Coast,Gympie (R),5227,5582,93.6%
Amamoor State School,1719,2013,State School,Primary,Rural,North Coast,Gympie (R),5651,5972.5,94.6%
Amamoor State School,1719,2014,State School,Primary,Rural,North Coast,Gympie (R),5656,5960,94.9%
Amamoor State School,1719,2015,State School,Primary,Rural,North Coast,Gympie (R),5077,5393,94.1%
Amberley District State School,115,2011,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),51871,55403,93.6%
Amberley District State School,115,2012,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),55719,59880,93.1%
Amberley District State School,115,2013,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),59015,63525.5,92.9%
Amberley District State School,115,2014,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),68040,73250,92.9%
Amberley District State School,115,2015,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),72341.5,77499,93.3%
Ambrose State School,1415,2011,State School,Primary,Rural,Central Queensland,Gladstone (R),6998,7504,93.3%
Ambrose State School,1415,2012,State School,Primary,Rural,Central Queensland,Gladstone (R),8225.5,8700,94.5%
Ambrose State School,1415,2013,State School,Primary,Rural,Central Queensland,Gladstone (R),9078,9576,94.8%
Ambrose State School,1415,2014,State School,Primary,Rural,Central Queensland,Gladstone (R),9979,10685,93.4%
Ambrose State School,1415,2015,State School,Primary,Rural,Central Queensland,Gladstone (R),9056,9610,94.2%
Amiens State School,1629,2011,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),6210,6601,94.1%
Amiens State School,1629,2012,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),6909.5,7315,94.5%
Amiens State School,1629,2013,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),6127.5,6464,94.8%
Amiens State School,1629,2014,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),5795.5,6205,93.4%
Amiens State School,1629,2015,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),2958,3138,94.3%
Anakie State School,474,2011,State School,Primary,Remote,Central Queensland,Central Highlands (R),9221.5,10027,92.0%
Anakie State School,474,2012,State School,Primary,Remote,Central Queensland,Central Highlands (R),8422,9166,91.9%
Anakie State School,474,2013,State School,Primary,Remote,Central Queensland,Central Highlands (R),8772.5,9430,93.0%
Anakie State School,474,2014,State School,Primary,Remote,Central Queensland,Central Highlands (R),9906,10711,92.5%
Anakie State School,474,2015,State School,Primary,Remote,Central Queensland,Central Highlands (R),8210.5,8831,93.0%
Andergrove State School,1572,2011,State School,Primary,Provincial City,Central Queensland,Mackay (R),35139.5,38703,90.8%
Andergrove State School,1572,2012,State School,Primary,Provincial City,Central Queensland,Mackay (R),29577.5,32231,91.8%
Andergrove State School,1572,2013,State School,Primary,Provincial City,Central Queensland,Mackay (R),28605,30750,93.0%
Andergrove State School,1572,2014,State School,Primary,Provincial City,Central Queensland,Mackay (R),30251.5,32734,92.4%
Andergrove State School,1572,2015,State School,Primary,Provincial City,Central Queensland,Mackay (R),30761.5,33315,92.3%
Annandale State School,440,2011,State School,Primary,Metropolitan,North Queensland,Townsville (C),76704.5,84125,91.2%
Annandale State School,440,2012,State School,Primary,Metropolitan,North Queensland,Townsville (C),76512.5,81134,94.3%
Annandale State School,440,2013,State School,Primary,Metropolitan,North Queensland,Townsville (C),69750.5,73717.5,94.6%
Annandale State School,440,2014,State School,Primary,Metropolitan,North Queensland,Townsville (C),74417.5,79202,94.0%
Annandale State School,440,2015,State School,Primary,Metropolitan,North Queensland,Townsville (C),74276.5,78367,94.8%
Applethorpe State School,1294,2011,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),2844,2970,95.8%
Applethorpe State School,1294,2012,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),3644.5,3936,92.6%
Applethorpe State School,1294,2013,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),3329,3522,94.5%
Applethorpe State School,1294,2014,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),2944,3141,93.7%
Applethorpe State School,1294,2015,State School,Primary,Rural,Darling Downs South West,Southern Downs (R),3237,3371,96.0%
Aramac State School,312,2011,State School,Combined,Remote,Central Queensland,Barcaldine (R),4056,4435,91.5%
Aramac State School,312,2012,State School,Combined,Remote,Central Queensland,Barcaldine (R),3758,4042,93.0%
Aramac State School,312,2013,State School,Combined,Remote,Central Queensland,Barcaldine (R),3837.5,4186,91.7%
Aramac State School,312,2014,State School,Combined,Remote,Central Queensland,Barcaldine (R),4645,5032,92.3%
Aramac State School,312,2015,State School,Combined,Remote,Central Queensland,Barcaldine (R),4557.5,4864,93.7%
Aratula State School,1266,2011,State School,Primary,Rural,South East,Scenic Rim (R),1920,2144,89.6%
Aratula State School,1266,2012,State School,Primary,Rural,South East,Scenic Rim (R),1829.5,2016,90.7%
Aratula State School,1266,2013,State School,Primary,Rural,South East,Scenic Rim (R),2512.5,2754,91.2%
Aratula State School,1266,2014,State School,Primary,Rural,South East,Scenic Rim (R),2868,3236,88.6%
Aratula State School,1266,2015,State School,Primary,Rural,South East,Scenic Rim (R),3156,3455,91.3%
Arcadia Valley State School,813,2011,State School,Primary,Remote,Darling Downs South West,Central Highlands (R),519,568,91.4%
Arcadia Valley State School,813,2012,State School,Primary,Remote,Darling Downs South West,Central Highlands (R),404.5,471,85.9%
Arcadia Valley State School,813,2013,State School,Primary,Remote,Darling Downs South West,Central Highlands (R),413.5,476,86.9%
Arcadia Valley State School,813,2014,State School,Primary,Remote,Darling Downs South West,Central Highlands (R),460,475,96.8%
Arcadia Valley State School,813,2015,State School,Primary,Remote,Darling Downs South West,Central Highlands (R),359,384,93.5%
Arundel State School,1997,2011,State School,Primary,Metropolitan,South East,Gold Coast (C),90313,97379,92.7%
Arundel State School,1997,2012,State School,Primary,Metropolitan,South East,Gold Coast (C),90204.5,97730.5,92.3%
Arundel State School,1997,2013,State School,Primary,Metropolitan,South East,Gold Coast (C),92245.5,100066,92.2%
Arundel State School,1997,2014,State School,Primary,Metropolitan,South East,Gold Coast (C),100051.5,107916,92.7%
Arundel State School,1997,2015,State School,Primary,Metropolitan,South East,Gold Coast (C),94770.5,102887,92.1%
Ascot State School,296,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),67593,71486,94.6%
Ascot State School,296,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),68910,72336,95.3%
Ascot State School,296,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),71763,75911.5,94.5%
Ascot State School,296,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),76211,80851,94.3%
Ascot State School,296,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),71307,75652,94.3%
Ashgrove State School,186,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),63543,66804,95.1%
Ashgrove State School,186,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),64006.5,66743,95.9%
Ashgrove State School,186,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),62203.5,64956,95.8%
Ashgrove State School,186,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),70306.5,73385,95.8%
Ashgrove State School,186,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),70559.5,73421,96.1%
Ashmore State School,1871,2011,State School,Primary,Metropolitan,South East,Gold Coast (C),71725.5,76334,94.0%
Ashmore State School,1871,2012,State School,Primary,Metropolitan,South East,Gold Coast (C),67221.5,72932,92.2%
Ashmore State School,1871,2013,State School,Primary,Metropolitan,South East,Gold Coast (C),65483.5,70559,92.8%
Ashmore State School,1871,2014,State School,Primary,Metropolitan,South East,Gold Coast (C),70543.5,75506,93.4%
Ashmore State School,1871,2015,State School,Primary,Metropolitan,South East,Gold Coast (C),69954,75684,92.4%
Ashwell State School,512,2011,State School,Primary,Rural,Metropolitan,Ipswich (C),6117.5,6608,92.6%
Ashwell State School,512,2012,State School,Primary,Rural,Metropolitan,Ipswich (C),5289.5,5712,92.6%
Ashwell State School,512,2013,State School,Primary,Rural,Metropolitan,Ipswich (C),4736.5,5142,92.1%
Ashwell State School,512,2014,State School,Primary,Rural,Metropolitan,Ipswich (C),4640,5052,91.8%
Ashwell State School,512,2015,State School,Primary,Rural,Metropolitan,Ipswich (C),4450.5,4877,91.3%
Aspley East State School,1004,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),74164.5,79494,93.3%
Aspley East State School,1004,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),73185,77959,93.9%
Aspley East State School,1004,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),68447,73849.5,92.7%
Aspley East State School,1004,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),74135.5,79856,92.8%
Aspley East State School,1004,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),72453,78240,92.6%
Aspley Special School,3031,2011,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),7055,7623,92.5%
Aspley Special School,3031,2012,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),7617,8326,91.5%
Aspley Special School,3031,2013,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),7599,8329,91.2%
Aspley Special School,3031,2014,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),8034.5,8536.5,94.1%
Aspley Special School,3031,2015,Special School,Special,Metropolitan,Metropolitan,Brisbane (C),9229,9730,94.9%
Aspley State High School,2076,2011,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),57094.5,65250,87.5%
Aspley State High School,2076,2012,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),53953,61854.5,87.2%
Aspley State High School,2076,2013,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),52261,58882,88.8%
Aspley State High School,2076,2014,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),52529.5,59193,88.7%
Aspley State High School,2076,2015,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),62133.5,69342,89.6%
Aspley State School,610,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),53480,56807,94.1%
Aspley State School,610,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),57617,60854,94.7%
Aspley State School,610,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),57314.5,60654.5,94.5%
Aspley State School,610,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),63392,67018,94.6%
Aspley State School,610,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),66341.5,69953,94.8%
Atherton State High School,2051,2011,State High School,Secondary,Rural,Far North Queensland,Tablelands (R),68559.5,79224,86.5%
Atherton State High School,2051,2012,State High School,Secondary,Rural,Far North Queensland,Tablelands (R),62387.5,71580,87.2%
Atherton State High School,2051,2013,State High School,Secondary,Rural,Far North Queensland,Tablelands (R),62002,71363,86.9%
Atherton State High School,2051,2014,State High School,Secondary,Rural,Far North Queensland,Tablelands (R),64149,71825,89.3%
Atherton State High School,2051,2015,State High School,Secondary,Rural,Far North Queensland,Tablelands (R),70220.5,78936,89.0%
Atherton State School,789,2011,State School,Primary,Rural,Far North Queensland,Tablelands (R),53812,59681,90.2%
Atherton State School,789,2012,State School,Primary,Rural,Far North Queensland,Tablelands (R),54692.5,60007,91.1%
Atherton State School,789,2013,State School,Primary,Rural,Far North Queensland,Tablelands (R),48960,54275.5,90.2%
Atherton State School,789,2014,State School,Primary,Rural,Far North Queensland,Tablelands (R),45480,50650,89.8%
Atherton State School,789,2015,State School,Primary,Rural,Far North Queensland,Tablelands (R),39496.5,43885.5,90.0%
Augathella State School,357,2011,State School,Primary,Remote,Darling Downs South West,Murweh (S),3545,4059,87.3%
Augathella State School,357,2012,State School,Primary,Remote,Darling Downs South West,Murweh (S),3348,3778,88.6%
Augathella State School,357,2013,State School,Primary,Remote,Darling Downs South West,Murweh (S),3174,3510,90.4%
Augathella State School,357,2014,State School,Primary,Remote,Darling Downs South West,Murweh (S),3223,3551,90.8%
Augathella State School,357,2015,State School,Primary,Remote,Darling Downs South West,Murweh (S),3254.5,3471,93.8%
Augusta State School,7120,2011,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),25554.5,27396,93.3%
Augusta State School,7120,2012,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),34413.5,37318,92.2%
Augusta State School,7120,2013,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),39832,43382.5,91.8%
Augusta State School,7120,2014,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),53029,57144,92.8%
Augusta State School,7120,2015,State School,Primary,Metropolitan,Metropolitan,Ipswich (C),58488.5,62674,93.3%
Aviation High,2078,2011,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),35410.5,39966,88.6%
Aviation High,2078,2012,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),31794.5,35468.5,89.6%
Aviation High,2078,2013,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),32336,36168,89.4%
Aviation High,2078,2014,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),30656.5,33895,90.4%
Aviation High,2078,2015,State High School,Secondary,Metropolitan,Metropolitan,Brisbane (C),32837.5,36451,90.1%
Avoca State School,1901,2011,State School,Primary,Provincial City,North Coast,Bundaberg (R),47292,50948,92.8%
Avoca State School,1901,2012,State School,Primary,Provincial City,North Coast,Bundaberg (R),45128,48826,92.4%
Avoca State School,1901,2013,State School,Primary,Provincial City,North Coast,Bundaberg (R),40427,43644,92.6%
Avoca State School,1901,2014,State School,Primary,Provincial City,North Coast,Bundaberg (R),40140,43225,92.9%
Avoca State School,1901,2015,State School,Primary,Provincial City,North Coast,Bundaberg (R),36305,39004,93.1%
Avondale State School,572,2011,State School,Primary,Rural,North Coast,Bundaberg (R),3113,3520,88.4%
Avondale State School,572,2012,State School,Primary,Rural,North Coast,Bundaberg (R),2944,3162,93.1%
Avondale State School,572,2013,State School,Primary,Rural,North Coast,Bundaberg (R),3324,3526,94.3%
Avondale State School,572,2014,State School,Primary,Rural,North Coast,Bundaberg (R),2325,2416,96.2%
Avondale State School,572,2015,State School,Primary,Rural,North Coast,Bundaberg (R),2031,2150,94.5%
Ayr East State School,908,2011,State School,Primary,Rural,North Queensland,Burdekin (S),53988.5,57846,93.3%
Ayr East State School,908,2012,State School,Primary,Rural,North Queensland,Burdekin (S),53315.5,57251,93.1%
Ayr East State School,908,2013,State School,Primary,Rural,North Queensland,Burdekin (S),52228.5,55782,93.6%
Ayr East State School,908,2014,State School,Primary,Rural,North Queensland,Burdekin (S),56428,59911,94.2%
Ayr East State School,908,2015,State School,Primary,Rural,North Queensland,Burdekin (S),51385,54280,94.7%
Ayr State High School,2008,2011,State High School,Secondary,Rural,North Queensland,Burdekin (S),41174,46765,88.0%
Ayr State High School,2008,2012,State High School,Secondary,Rural,North Queensland,Burdekin (S),38472,44432.5,86.6%
Ayr State High School,2008,2013,State High School,Secondary,Rural,North Queensland,Burdekin (S),41082,46638,88.1%
Ayr State High School,2008,2014,State High School,Secondary,Rural,North Queensland,Burdekin (S),44715.5,49310,90.7%
Ayr State High School,2008,2015,State High School,Secondary,Rural,North Queensland,Burdekin (S),50841,55927,90.9%
Ayr State School,451,2011,State School,Primary,Rural,North Queensland,Burdekin (S),14261.5,16534,86.3%
Ayr State School,451,2012,State School,Primary,Rural,North Queensland,Burdekin (S),14522,16678,87.1%
Ayr State School,451,2013,State School,Primary,Rural,North Queensland,Burdekin (S),16630,19085.5,87.1%
Ayr State School,451,2014,State School,Primary,Rural,North Queensland,Burdekin (S),15662.5,17623,88.9%
Ayr State School,451,2015,State School,Primary,Rural,North Queensland,Burdekin (S),11801.5,12957.5,91.1%
Babinda State School,1466,2011,State School,Combined,Rural,Far North Queensland,Cairns (R),18778.5,20506,91.6%
Babinda State School,1466,2012,State School,Combined,Rural,Far North Queensland,Cairns (R),17537.5,19774,88.7%
Babinda State School,1466,2013,State School,Combined,Rural,Far North Queensland,Cairns (R),18035.5,19764.5,91.3%
Babinda State School,1466,2014,State School,Combined,Rural,Far North Queensland,Cairns (R),18948.5,21263,89.1%
Babinda State School,1466,2015,State School,Combined,Rural,Far North Queensland,Cairns (R),22090,24422,90.5%
Back Plains State School,317,2011,State School,Primary,Rural,Darling Downs South West,Toowoomba (R),1233,1325,93.1%
