School Name,Centre Code,Region,Local Government Area,LOTE Language,School Category,Year 7 as Secondary,Year Level Sector
Bowen State High School,2065,North Queensland,Whitsunday (R),Chinese,Secondary,No,S
Bowen State School,0010,North Queensland,Whitsunday (R),Chinese,Primary,No,P
Bowenville State School,0815,Darling Downs South West,Toowoomba (R),Japanese,Primary,No,P
Boyne Island State School,1191,Central Queensland,Gladstone (R),Japanese,Primary,No,P
Boynewood State School,1465,Central Queensland,North Burnett (R),German,Primary,No,P
Bracken Ridge State High School,2118,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Bracken Ridge State School,0772,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Brandon State School,0466,North Queensland,Burdekin (S),Japanese,Primary,No,P
Branyan Road State School,1066,North Coast,Bundaberg (R),Japanese,Primary,No,P
Brassall State School,0571,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Bray Park State High School,2173,North Coast,Moreton Bay (R),French,Secondary,Yes,P/S
Bray Park State School,0339,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Bremer State High School,2050,Metropolitan,Ipswich (C),German,Secondary,Yes,P/S
Bribie Island State High School,2181,North Coast,Moreton Bay (R),Indonesian,Secondary,No,S
Bribie Island State School,0540,North Coast,Moreton Bay (R),Indonesian,Primary,No,P
Brigalow State School,1133,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Brighton State School,1669,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Brightwater State School,7573,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Brisbane Bayside State College,2104,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Brisbane Central State School,0207,Metropolitan,Brisbane (C),French,Primary,No,P
Brisbane School of Distance Education,3605,Metropolitan,Brisbane (C),Chinese,Combined,No,P/S
Brisbane School of Distance Education,3605,Metropolitan,Brisbane (C),French,Combined,No,P/S
Brisbane School of Distance Education,3605,Metropolitan,Brisbane (C),German,Combined,No,P/S
Brisbane School of Distance Education,3605,Metropolitan,Brisbane (C),Indonesian,Combined,No,P/S
Brisbane School of Distance Education,3605,Metropolitan,Brisbane (C),Japanese,Combined,No,P/S
Brisbane School of Distance Education,3605,Metropolitan,Brisbane (C),Spanish,Combined,No,S
Brisbane State High School,2003,Metropolitan,Brisbane (C),French,Secondary,No,S
Brisbane State High School,2003,Metropolitan,Brisbane (C),German,Secondary,No,S
Brisbane State High School,2003,Metropolitan,Brisbane (C),Greek,Secondary,No,S
Brisbane State High School,2003,Metropolitan,Brisbane (C),Italian,Secondary,No,S
Brisbane State High School,2003,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Broadbeach State School,1381,South East,Gold Coast (C),Japanese,Primary,No,P
Broadwater State School,1071,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Brookfield State School,0016,Metropolitan,Brisbane (C),German,Primary,No,P
Brookstead State School,0311,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Browns Plains State High School,2164,South East,Logan (C),German,Secondary,No,S
Browns Plains State High School,2164,South East,Logan (C),Indonesian,Secondary,No,S
Browns Plains State School,1922,South East,Logan (C),Indonesian,Primary,No,P
Bucasia State School,1939,Central Queensland,Mackay (R),Japanese,Primary,No,P
Buderim Mountain State School,0223,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Builyan State School,1124,Central Queensland,Gladstone (R),Japanese,Primary,No,P
Bulimba State School,0017,Metropolitan,Brisbane (C),Italian,Primary,No,P
Bullyard State School,0962,North Coast,Bundaberg (R),Japanese,Primary,No,P
Bundaberg Central State School,0018,North Coast,Bundaberg (R),Japanese,Primary,No,P
Bundaberg East State School,0497,North Coast,Bundaberg (R),Japanese,Primary,No,P
Bundaberg North State High School,2019,North Coast,Bundaberg (R),Japanese,Secondary,No,S
Bundaberg North State School,0161,North Coast,Bundaberg (R),Japanese,Primary,No,P
Bundaberg South State School,0637,North Coast,Bundaberg (R),German,Primary,No,P
Bundaberg State High School,2004,North Coast,Bundaberg (R),Chinese,Secondary,No,S
Bundaberg State High School,2004,North Coast,Bundaberg (R),German,Secondary,No,S
Bundaberg State High School,2004,North Coast,Bundaberg (R),Japanese,Secondary,No,S
Bundaberg West State School,1836,North Coast,Bundaberg (R),Japanese,Primary,No,P
Bundamba State School,0019,Metropolitan,Ipswich (C),Indonesian,Primary,No,P
Bundamba State Secondary College,2130,Metropolitan,Ipswich (C),German,Secondary,No,S
Bungunya State School,1508,Darling Downs South West,Goondiwindi (R),French,Primary,No,P
Bunker's Hill State School,0853,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Buranda State School,0894,Metropolitan,Brisbane (C),German,Primary,No,P
Burketown State School,0530,North Queensland,Burke (S),Japanese,Primary,No,P
Burleigh Heads State School,1568,South East,Gold Coast (C),Japanese,Primary,No,P
Burnett Heads State School,0319,North Coast,Bundaberg (R),German,Primary,No,P
Burnett State College,2089,Central Queensland,North Burnett (R),German,Secondary,No,S
Burnside State High School,2145,North Coast,Sunshine Coast (R),Japanese,Secondary,No,S
Burnside State School,1873,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Burpengary Meadows State School,5553,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Burpengary State School,0601,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Burra Burri State School,1129,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Burrowes State School,1966,South East,Logan (C),German,Primary,No,P
Butchers Creek State School,1427,Far North Queensland,Tablelands (R),Japanese,Primary,No,P
Bymount East State School,1047,Darling Downs South West,Maranoa (R),French,Primary,No,P
Caboolture East State School,1903,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Caboolture State High School,2066,North Coast,Moreton Bay (R),Chinese,Secondary,No,S
Caboolture State School,0369,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Cairns School of Distance Education,3601,Far North Queensland,Cairns (R),French,Combined,No,P/S
Cairns School of Distance Education,3601,Far North Queensland,Cairns (R),German,Combined,No,P/S
Cairns School of Distance Education,3601,Far North Queensland,Cairns (R),Indonesian,Combined,No,P/S
Cairns School of Distance Education,3601,Far North Queensland,Cairns (R),Italian,Combined,No,P/S
Cairns School of Distance Education,3601,Far North Queensland,Cairns (R),Japanese,Combined,No,P/S
Cairns State High School,2005,Far North Queensland,Cairns (R),Chinese,Secondary,No,S
Cairns State High School,2005,Far North Queensland,Cairns (R),German,Secondary,No,S
Cairns State High School,2005,Far North Queensland,Cairns (R),Italian,Secondary,No,S
Cairns State High School,2005,Far North Queensland,Cairns (R),Japanese,Secondary,No,S
Cairns West State School,1522,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Calamvale Community College,1699,Metropolitan,Brisbane (C),German,Combined,No,P/S
Calen District State College,1550,Central Queensland,Mackay (R),German,Combined,No,P/S
Calliope State School,0020,Central Queensland,Gladstone (R),Korean,Primary,No,P
Caloundra State High School,2116,North Coast,Sunshine Coast (R),French,Secondary,No,S
Caloundra State High School,2116,North Coast,Sunshine Coast (R),Italian,Secondary,No,S
Caloundra State School,0859,North Coast,Sunshine Coast (R),French,Primary,No,P
Cambooya State School,0196,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Cameron Downs State School,0483,North Queensland,Flinders (S),Japanese,Primary,No,P
Camira State School,0352,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Camp Hill State Infants and Primary School,1854,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Caningeraba State School,1967,South East,Gold Coast (C),French,Primary,No,P
Cannon Hill State School,1476,Metropolitan,Brisbane (C),Italian,Primary,No,P
Cannonvale State School,0589,North Queensland,Whitsunday (R),Japanese,Primary,No,P
Canungra State School,0566,South East,Scenic Rim (R),Japanese,Primary,No,P
Capalaba State College,5534,South East,Redland (C),German,Combined,No,P/S
Capella State High School,2182,Central Queensland,Central Highlands (R),Japanese,Secondary,No,S
Capella State School,0410,Central Queensland,Central Highlands (R),Japanese,Primary,No,P
Capricornia (Emerald Campus) School of Distance Education,3612,Central Queensland,Central Highlands (R),Japanese,Combined,No,P
Caravonica State School,0927,Far North Queensland,Cairns (R),Indonesian,Primary,No,P
Carbrook State School,0278,South East,Logan (C),Japanese,Primary,No,P
Cardwell State School,0136,Far North Queensland,Cassowary Coast (R),Indonesian,Primary,No,P
Carina State School,1552,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Carmila State School,1806,Central Queensland,Isaac (R),Japanese,Primary,No,P
Carole Park State School,1044,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Cavendish Road State High School,2025,Metropolitan,Brisbane (C),German,Secondary,No,S
Cavendish Road State High School,2025,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Cawarral State School,0135,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Cecil Plains State School,0734,Darling Downs South West,Toowoomba (R),Japanese,Combined,No,P/S
Cedar Creek State School,0160,South East,Gold Coast (C),Japanese,Primary,No,P
Centenary Heights State High School,2121,Darling Downs South West,Toowoomba (R),Chinese,Secondary,No,S
Centenary Heights State High School,2121,Darling Downs South West,Toowoomba (R),German,Secondary,No,S
Centenary State High School,1668,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Centenary State High School,1668,Metropolitan,Brisbane (C),German,Secondary,No,S
Chancellor State College,2282,North Coast,Sunshine Coast (R),Italian,Combined,No,P/S
Chancellor State College,2282,North Coast,Sunshine Coast (R),Japanese,Combined,No,P/S
Chapel Hill State School,1872,Metropolitan,Brisbane (C),German,Primary,No,P
Charleville School of Distance Education,3602,Darling Downs South West,Murweh (S),Japanese,Combined,No,P
Charleville State High School,2068,Darling Downs South West,Murweh (S),Japanese,Secondary,No,S
Charleville State School,0185,Darling Downs South West,Murweh (S),Japanese,Primary,No,P
Charlton State School,0823,Darling Downs South West,Toowoomba (R),French,Primary,No,P
Charters Towers Central State School,0215,North Queensland,Charters Towers (R),Japanese,Primary,No,P
Charters Towers School of Distance Education,3610,North Queensland,Charters Towers (R),Japanese,Combined,No,P/S
Charters Towers State High School,2006,North Queensland,Charters Towers (R),Japanese,Secondary,No,S
Chatswood Hills State School,1924,South East,Logan (C),Japanese,Primary,No,P
Chatsworth State School,0915,North Coast,Gympie (R),German,Primary,No,P
Chelona State School,0677,Central Queensland,Mackay (R),Chinese,Primary,No,P
Chevallum State School,1722,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Childers State School,0568,North Coast,Bundaberg (R),German,Primary,No,P
Chillagoe State School,0866,Far North Queensland,Tablelands (R),Japanese,Primary,No,P
Chinchilla State High School,2087,Darling Downs South West,Western Downs (R),Japanese,Secondary,No,S
Chinchilla State School,0244,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Churchill State School,1789,Metropolitan,Ipswich (C),Japanese,Primary,No,P
Clare State School,0171,North Queensland,Burdekin (S),Japanese,Primary,No,P
Clarendon State School,1732,Metropolitan,Somerset (R),German,Primary,No,P
Clermont State High School,2185,Central Queensland,Isaac (R),French,Secondary,No,S
Clermont State School,0021,Central Queensland,Isaac (R),French,Primary,No,P
Cleveland District State High School,2070,South East,Redland (C),Chinese,Secondary,Yes,P/S
Cleveland District State High School,2070,South East,Redland (C),French,Secondary,Yes,P/S
Cleveland District State High School,2070,South East,Redland (C),Japanese,Secondary,Yes,P/S
Cleveland State School,0022,South East,Redland (C),Chinese,Primary,No,P
Cleveland State School,0022,South East,Redland (C),French,Primary,No,P
Clifton State High School,2111,Darling Downs South West,Toowoomba (R),French,Secondary,Yes,P/S
Clifton State School,0687,Darling Downs South West,Toowoomba (R),French,Primary,No,P
Clinton State School,0172,Central Queensland,Gladstone (R),German,Primary,No,P
Cloncurry State School,0411,North Queensland,Cloncurry (S),Japanese,Combined,No,P/S
Clontarf Beach State High School,2091,North Coast,Moreton Bay (R),French,Secondary,No,S
Clontarf Beach State School,0162,North Coast,Moreton Bay (R),Chinese,Primary,No,P
Clover Hill State School,2345,South East,Gold Coast (C),Japanese,Primary,No,P
Cloyna State School,1254,Darling Downs South West,South Burnett (R),Japanese,Primary,No,P
Coalstoun Lakes State School,1225,Central Queensland,North Burnett (R),German,Primary,No,P
Collingwood Park State School,1956,Metropolitan,Ipswich (C),German,Primary,No,P
Collinsville State High School,2171,North Queensland,Whitsunday (R),Japanese,Secondary,No,S
Collinsville State School,1691,North Queensland,Whitsunday (R),Japanese,Primary,No,P
Comet State School,0173,Central Queensland,Central Highlands (R),Indonesian,Primary,No,P
Condamine State School,0024,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Coningsby State School,0439,Central Queensland,Mackay (R),Japanese,Primary,No,P
Conondale State School,1352,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Cooktown State School,0177,Far North Queensland,Cook (S),French,Combined,No,P/S
Coolabunia State School,0638,Darling Downs South West,South Burnett (R),German,Primary,No,P
Coolangatta State School,1630,South East,Gold Coast (C),Japanese,Primary,No,P
Coolnwynpin State School,1927,South East,Redland (C),Italian,Primary,No,P
Coolum State High School,2165,North Coast,Sunshine Coast (R),Japanese,Secondary,No,S
Coolum State School,1571,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Coombabah State High School,2166,South East,Gold Coast (C),Italian,Secondary,No,S
Coombabah State High School,2166,South East,Gold Coast (C),Japanese,Secondary,No,S
Coombabah State School,1909,South East,Gold Coast (C),Japanese,Primary,No,P
Coomera Rivers State School,7122,South East,Gold Coast (C),Chinese,Primary,No,P
Coomera Springs State School,5730,South East,Gold Coast (C),Chinese,Primary,No,P
Coomera State School,0124,South East,Gold Coast (C),Japanese,Primary,No,P
Coominya State School,1359,Metropolitan,Somerset (R),German,Primary,No,P
Coominya State School,1359,Metropolitan,Somerset (R),Italian,Primary,No,P
Coopers Plains State School,1247,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Cooran State School,0602,North Coast,Sunshine Coast (R),Japanese,Primary,No,P
Cooroy State School,1165,North Coast,Sunshine Coast (R),French,Primary,No,P
Coorparoo Secondary College,2077,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Coorparoo State School,0219,Metropolitan,Brisbane (C),German,Primary,No,P
Coowonga State School,0032,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Cooyar State School,1084,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Coppabella State School,1898,Central Queensland,Isaac (R),Japanese,Primary,No,P
Cordalba State School,0117,North Coast,Bundaberg (R),German,Primary,No,P
Corinda State High School,2055,Metropolitan,Brisbane (C),Chinese,Secondary,No,S
Corinda State High School,2055,Metropolitan,Brisbane (C),French,Secondary,No,S
Corinda State High School,2055,Metropolitan,Brisbane (C),German,Secondary,No,S
Corinda State High School,2055,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Corinda State High School,2055,Metropolitan,Brisbane (C),Spanish,Secondary,No,S
Corinda State School,1025,Metropolitan,Brisbane (C),French,Primary,No,P
Craigslea State High School,2023,Metropolitan,Brisbane (C),German,Secondary,No,S
Craigslea State High School,2023,Metropolitan,Brisbane (C),Japanese,Secondary,No,S
Craigslea State School,0060,Metropolitan,Brisbane (C),Japanese,Primary,No,P
Cranbrook State School,1907,North Queensland,Townsville (C),Japanese,Primary,No,P
Crawford State School,0399,Darling Downs South West,South Burnett (R),German,Primary,No,P
Crescent Lagoon State School,0762,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Crestmead State School,1928,South East,Logan (C),German,Primary,No,P
Crow's Nest State School,0293,Darling Downs South West,Toowoomba (R),German,Combined,Yes,P/S
Croydon State School,0165,Far North Queensland,Croydon (S),Japanese,Primary,No,P
Currajong State School,0355,North Queensland,Townsville (C),Japanese,Primary,No,P
Currimundi State School,1868,North Coast,Sunshine Coast (R),Italian,Primary,No,P
Currumbin State School,1168,South East,Gold Coast (C),Italian,Primary,No,P
Currumbin Valley State School,0775,South East,Gold Coast (C),Japanese,Primary,No,P
Dagun State School,0892,North Coast,Gympie (R),German,Primary,No,P
Daintree State School,1022,Far North Queensland,Cairns (R),Japanese,Primary,No,P
Dakabin State High School,2142,North Coast,Moreton Bay (R),French,Secondary,No,S
Dakabin State High School,2142,North Coast,Moreton Bay (R),Japanese,Secondary,No,S
Dakabin State School,1988,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Dalby South State School,0671,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Dalby State High School,2033,Darling Downs South West,Western Downs (R),Japanese,Secondary,No,S
Dallarnil State School,0950,Central Queensland,North Burnett (R),German,Primary,No,P
Dalveen State School,0318,Darling Downs South West,Southern Downs (R),Italian,Primary,No,P
Darling Heights State School,1900,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Darlington State School,0520,South East,Scenic Rim (R),Japanese,Primary,No,P
Darra State School,1520,Metropolitan,Brisbane (C),Chinese,Primary,No,P
Dayboro State School,0191,North Coast,Moreton Bay (R),French,Primary,No,P
Deception Bay North State School,1884,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Deception Bay State High School,2107,North Coast,Moreton Bay (R),Japanese,Secondary,No,S
Deception Bay State School,0237,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Delaneys Creek State School,0683,North Coast,Moreton Bay (R),Japanese,Primary,No,P
Denison State School,0392,Central Queensland,Central Highlands (R),Indonesian,Primary,No,P
Depot Hill State School,0837,Central Queensland,Rockhampton (R),Japanese,Primary,No,P
Dimbulah State School,1226,Far North Queensland,Tablelands (R),Italian,Combined,No,P/S
Dingo State School,0266,Central Queensland,Central Highlands (R),French,Primary,No,P
Dirranbandi P-10 State School,1001,Darling Downs South West,Balonne (S),LOTE,Combined,No,P/S
Drayton State School,0031,Darling Downs South West,Toowoomba (R),Indonesian,Primary,No,P
Drillham State School,0889,Darling Downs South West,Western Downs (R),Japanese,Primary,No,P
Duaringa State School,0342,Central Queensland,Central Highlands (R),French,Primary,No,P
Dundula State School,1779,Central Queensland,Mackay (R),Chinese,Primary,No,P
Dunwich State School,0784,South East,Redland (C),French,Primary,No,P
Durack State School,0959,Metropolitan,Brisbane (C),German,Primary,No,P
Durong South State School,1667,Darling Downs South West,South Burnett (R),German,Primary,No,P
Dutton Park State School,0506,Metropolitan,Brisbane (C),French,Primary,No,P
Dysart State High School,2156,Central Queensland,Isaac (R),Japanese,Secondary,No,S
